Part number,Part ID,Label,Assembly,Material,Solid count,Volume mm3,X mm,Y mm,Z mm,Fidelity
3DS-0001,BackCover,3DS-0001 · Removable lower rear cover009,Body,accent,1,9623.953950839961,132.8,72.8,1.0,Published envelope; approximate local detail
3DS-0002,MainFrame,3DS-0002 · Lower structural side frame021,Body,accent,1,5491.860904541737,134.0000002,74.0000002,9.900000200000006,Published envelope; approximate local detail
3DS-0003,FrontDeck,3DS-0003 · Control deck017,Body,accent,1,4296.373549047132,133.6000002,68.52690086060862,1.000000200000196,Published envelope; approximate local detail
3DS-0004,LowerCaseSeam,3DS-0004 · Lower case parting line003,Body,black,2,14.223041564596292,133.85000019999998,73.85,0.03000020662936187,Published envelope; approximate local detail
3DS-0005,LidBackCover,3DS-0005 · Upper outer cover003,Lid,accent,1,8227.090854024247,133.6,64.7831232572442,24.424851907142752,Published envelope; approximate local detail
3DS-0006,LidFrame,3DS-0006 · Upper display frame004,Lid,accent,1,2655.0588652020606,133.35000019999998,64.34074264348658,29.855009688797697,Published envelope; approximate local detail
3DS-0007,LidBezel,3DS-0007 · Black upper display bezel011,Lid,bezel,1,1269.1950556002362,132.70000019999998,61.738737985594874,22.678386655348355,Published envelope; approximate local detail
3DS-0008,LeftHingeSleeve,3DS-0008 · Hinge knuckle,Hinge,accent,1,180.7747811099253,9.0,5.799999999999997,5.800000000000001,Published envelope; approximate local detail
3DS-0009,CenterHingeSleeve,3DS-0009 · Hinge knuckle001,Hinge,accent,1,2048.7808525791534,102.0,5.799999999999997,5.800000000000001,Published envelope; approximate local detail
3DS-0010,RightHingeSleeve,3DS-0010 · Hinge knuckle002,Hinge,accent,1,180.7747811099253,9.0,5.799999999999997,5.800000000000001,Published envelope; approximate local detail
3DS-0011,HingeAxle,3DS-0011 · Split hinge axle pair around flex conduit,Hinge,metal,2,593.9193477982119,127.5,2.6400000000000006,2.6400000000000006,Schematic internal layout
