Part number,Part ID,Label,Assembly,Material,Solid count,Volume mm3,X mm,Y mm,Z mm,Fidelity
ATARI2600-0001,LowerHousing,ATARI2600-0001 · Heavy rounded lower housing007,Body,atariblack,1,1087332.6510104763,346.0,231.5,40.0,Approximate exterior and envelope; photographic study
ATARI2600-0002,TopDeck,ATARI2600-0002 · Horizontal ribbed deck foundation002,Body,atariblack,1,84404.14534657805,325.6,211.1,2.299999999999997,Approximate exterior and envelope; photographic study
ATARI2600-0003,ControlHump,ATARI2600-0003 · Raised sloping control enclosure009,Body,atariblack,1,68608.64075171776,310.0,95.0,35.99999999999999,Approximate exterior and envelope; photographic study
ATARI2600-0004,WoodFascia,ATARI2600-0004 · Printed woodgrain front fascia,Body,wood,1,1537.8244208893589,319.0,0.18000000000000682,27.0,Approximate exterior and envelope; photographic study
ATARI2600-0005,Foot0,ATARI2600-0005 · Recessed rubber support foot,Body,rubber,1,1035.3118589905162,13.0,13.0,7.8,Approximate exterior and envelope; photographic study
ATARI2600-0006,Foot1,ATARI2600-0006 · Recessed rubber support foot001,Body,rubber,1,1035.3118589905162,13.0,13.0,7.8,Approximate exterior and envelope; photographic study
ATARI2600-0007,Foot2,ATARI2600-0007 · Recessed rubber support foot002,Body,rubber,1,1035.3118589905162,13.0,13.0,7.8,Approximate exterior and envelope; photographic study
ATARI2600-0008,Foot3,ATARI2600-0008 · Recessed rubber support foot003,Body,rubber,1,1035.3118589905162,13.0,13.0,7.8,Approximate exterior and envelope; photographic study
ATARI2600-0009,ControlTrim,ATARI2600-0009 · Orange control-bezel pinstripe,Body,orange,1,50.317592894746895,296.0,57.6577287418144,31.04292956909245,Approximate exterior and envelope; photographic study
ATARI2600-0010,ControlBezel,ATARI2600-0010 · Printed black control faceplate007,Body,black,1,2033.0680589400931,294.2,56.0815877919424,30.208579346545925,Approximate exterior and envelope; photographic study
ATARI2600-0011,SwitchWasher0,ATARI2600-0011 · Switch actuator dust washer,Controls,black,1,64.91787059377945,11.0,10.115806196459161,5.999275237125431,Approximate exterior and envelope; photographic study
ATARI2600-0012,SwitchLever0,ATARI2600-0012 · Metal power switch lever,Controls,metal,1,356.82026099901424,4.699999999999989,13.413094780362051,20.19925720342208,Approximate exterior and envelope; photographic study
ATARI2600-0013,SwitchTitle0,ATARI2600-0013 · power,Body,orange,5,0.1147216353452514,9.282684763758368,2.1027984656331,1.1411402883446016,Approximate exterior and envelope; photographic study
ATARI2600-0014,SwitchLegend0,ATARI2600-0014 · on / off,Body,orange,6,0.054606125026619316,7.670037951677841,1.6527744104707125,0.8993362721379441,Approximate exterior and envelope; photographic study
ATARI2600-0015,SwitchWasher1,ATARI2600-0015 · Switch actuator dust washer001,Controls,black,1,64.91787059377945,11.0,10.115806196459161,5.999275237125431,Approximate exterior and envelope; photographic study
