Part number,Part ID,Label,Assembly,Material,Solid count,Volume mm3,X mm,Y mm,Z mm,Fidelity
GAMEBOY-0001,BackCover,GAMEBOY-0001 · Rear enclosure base015,Body,dmgcase,1,8370.963642668688,90.0000002,148.0000001,1.2000001000000002,Published envelope; approximate local detail
GAMEBOY-0002,RearShell,GAMEBOY-0002 · Rear enclosure skirt010,Body,dmgcase,1,10084.320082545944,90.0,148.0,15.2,Published envelope; approximate local detail
GAMEBOY-0003,MainFrame,GAMEBOY-0003 · Front enclosure skirt005,Body,dmgcase,1,9338.483098145049,90.0,148.0,12.95,Published envelope; approximate local detail
GAMEBOY-0004,FrontFace,GAMEBOY-0004 · Front control and display panel008,Body,dmgcase,1,9122.493878223951,89.80000000000001,147.8,1.1499999999999986,Published envelope; approximate local detail
GAMEBOY-0005,DisplayBezel,GAMEBOY-0005 · Dark-grey display surround001,Display,dmgbezel,1,1784.4528893977133,77.0,57.5,0.7600000000000016,Published envelope; approximate local detail
GAMEBOY-0006,LCDBackplate,GAMEBOY-0006 · LCD backing plate,Display,metal,1,1055.0111325603639,58.0,52.0,0.3500000000000014,Schematic internal layout
GAMEBOY-0007,LCD,GAMEBOY-0007 · Reflective monochrome LCD module,Display,black,1,9795.67362697409,56.0,50.0,3.5,Schematic internal layout
GAMEBOY-0008,LCDPolarizer,GAMEBOY-0008 · LCD polarizer study,Display,dmglcd,1,242.51356194490262,47.0,43.0,0.120000000000001,Schematic internal layout
GAMEBOY-0009,DisplayGlass,GAMEBOY-0009 · 47 x 43 mm display window,Display,dmglcd,1,363.77034291735265,47.0,43.0,0.17999999999999972,Published envelope; approximate local detail
GAMEBOY-0010,BatteryLED,GAMEBOY-0010 · Battery indicator lens,Display,red,1,0.3769911184307761,2.0,2.0,0.120000000000001,Published envelope; approximate local detail
GAMEBOY-0011,BatteryLEDMark,GAMEBOY-0011 · BATTERY,Display,white,7,0.07540762627695737,8.534492549664431,1.4563760389261802,0.01800020000000302,Published envelope; approximate local detail
GAMEBOY-0012,DisplayTechnologyMark,GAMEBOY-0012 · DOT MATRIX WITH STEREO SOUND,Display,white,24,0.2610580048591935,33.54419063624161,1.4617451664429524,0.01800020000000302,Published envelope; approximate local detail
GAMEBOY-0013,DisplayRedLineLeft,GAMEBOY-0013 · Upper burgundy bezel rule,Display,dmgline,1,0.10076137166941296,19.999999999999996,0.28000000000000114,0.018000000000000682,Published envelope; approximate local detail
GAMEBOY-0014,DisplayBlueLineLeft,GAMEBOY-0014 · Lower blue bezel rule,Display,dmgink,1,0.07917527786842424,20.000000000000004,0.21999999999999886,0.018000000000000682,Published envelope; approximate local detail
