Part number,Part ID,Label,Assembly,Material,Solid count,Volume mm3,X mm,Y mm,Z mm,Fidelity
MEGADRIVE-0001,LowerHousing,MEGADRIVE-0001 · Tapered Model 1 lower shell002,Body,mdblack,1,140454.5734558998,280.0000002,212.0000002,16.500000200000002,Published envelope; approximate photographic exterior detail
MEGADRIVE-0002,UpperHousing,MEGADRIVE-0002 · Sloping Model 1 upper shell016,Body,mdblack,1,316445.2603021418,280.0000002,212.0000002,56.6000002,Published envelope; approximate photographic exterior detail
MEGADRIVE-0003,DeckRing,MEGADRIVE-0003 · Glossy annular cartridge-deck inlay001,Body,gloss,1,1500.9254730677394,176.9,171.60275100680678,0.4200000000000017,Published envelope; approximate photographic exterior detail
MEGADRIVE-0004,Foot0,MEGADRIVE-0004 · Lower shell elastomer foot,Body,rubber,1,158.9929188601028,13.0,9.0,1.4,Published envelope; approximate photographic exterior detail
MEGADRIVE-0005,Foot1,MEGADRIVE-0005 · Lower shell elastomer foot001,Body,rubber,1,158.9929188601028,13.0,9.0,1.4,Published envelope; approximate photographic exterior detail
MEGADRIVE-0006,Foot2,MEGADRIVE-0006 · Lower shell elastomer foot002,Body,rubber,1,158.9929188601028,13.0,9.0,1.4,Published envelope; approximate photographic exterior detail
MEGADRIVE-0007,Foot3,MEGADRIVE-0007 · Lower shell elastomer foot003,Body,rubber,1,158.9929188601028,13.0,9.0,1.4,Published envelope; approximate photographic exterior detail
MEGADRIVE-0008,CartridgeFlap,MEGADRIVE-0008 · Spring-return cartridge dust door,CardReader,mdblack,1,2545.649396453286,123.5,17.599999999999998,1.2000000000000028,Published envelope; approximate photographic exterior detail
MEGADRIVE-0009,FlapPivot-1,MEGADRIVE-0009 · Dust-door hinge stub,CardReader,mdblack,1,15.268140296446372,6.0,1.7999999999999972,1.8000000000000114,Published envelope; approximate photographic exterior detail
MEGADRIVE-0010,FlapPivot1,MEGADRIVE-0010 · Dust-door hinge stub001,CardReader,mdblack,1,15.268140296446372,6.0,1.7999999999999972,1.8000000000000114,Published envelope; approximate photographic exterior detail
MEGADRIVE-0011,ControlPanel,MEGADRIVE-0011 · Glossy power/volume/reset inset001,Controls,gloss,1,2142.807663042968,71.39999999999999,63.400000000000006,0.6000000000000014,Published envelope; approximate photographic exterior detail
MEGADRIVE-0012,VolumeTrack,MEGADRIVE-0012 · Headphone slider recess001,Controls,black,1,250.25012385965934,7.800000000000011,41.5,0.7999999999999972,Published envelope; approximate photographic exterior detail
MEGADRIVE-0013,VolumeSlider,MEGADRIVE-0013 · Headphone volume slider,Controls,mdblack,1,152.2125749205957,7.400000000000006,9.0,2.299999999999997,Published envelope; approximate photographic exterior detail
MEGADRIVE-0014,VolumeMark,MEGADRIVE-0014 · Red slider index,Controls,mdred,1,0.35291327412287044,6.800000000000011,0.6500000000000057,0.0799999999999983,Published envelope; approximate photographic exterior detail
MEGADRIVE-0015,PowerSlider,MEGADRIVE-0015 · Cartridge-lock power slider,Controls,mdblack,1,389.1225660691707,25.80000000000001,10.799999999999997,1.3999999999999986,Published envelope; approximate photographic exterior detail
MEGADRIVE-0016,PowerMark,MEGADRIVE-0016 · Power slider red index,Controls,mdred,1,0.5153132741228681,0.75,8.600000000000009,0.0799999999999983,Published envelope; approximate photographic exterior detail
MEGADRIVE-0017,ResetButton,MEGADRIVE-0017 · Blue RESET pushbutton,Controls,mdblue,1,359.17592894744615,24.0,10.0,1.5,Published envelope; approximate photographic exterior detail
MEGADRIVE-0018,ResetGrip0,MEGADRIVE-0018 · Reset button moulded grip,Controls,mdblue,1,0.8376823001646865,1.0,7.0,0.11999999999999744,Published envelope; approximate photographic exterior detail
MEGADRIVE-0019,ResetGrip1,MEGADRIVE-0019 · Reset button moulded grip001,Controls,mdblue,1,0.8376823001646866,1.0,7.0,0.11999999999999744,Published envelope; approximate photographic exterior detail
MEGADRIVE-0020,ResetGrip2,MEGADRIVE-0020 · Reset button moulded grip002,Controls,mdblue,1,0.8376823001646865,1.0,7.0,0.11999999999999744,Published envelope; approximate photographic exterior detail
MEGADRIVE-0021,ResetGrip3,MEGADRIVE-0021 · Reset button moulded grip003,Controls,mdblue,1,0.8376823001646866,1.0,7.0,0.11999999999999744,Published envelope; approximate photographic exterior detail
MEGADRIVE-0022,ResetGrip4,MEGADRIVE-0022 · Reset button moulded grip004,Controls,mdblue,1,0.8376823001646866,1.0,7.0,0.11999999999999744,Published envelope; approximate photographic exterior detail
MEGADRIVE-0023,ResetGrip5,MEGADRIVE-0023 · Reset button moulded grip005,Controls,mdblue,1,0.8376823001646865,1.0,7.0,0.11999999999999744,Published envelope; approximate photographic exterior detail
MEGADRIVE-0024,ResetGrip6,MEGADRIVE-0024 · Reset button moulded grip006,Controls,mdblue,1,0.8376823001646863,1.0,7.0,0.11999999999999744,Published envelope; approximate photographic exterior detail
MEGADRIVE-0025,VolumeScale0,MEGADRIVE-0025 · Volume scale tick,Controls,white,1,0.027945061929829585,2.5,0.28000000000000114,0.03999999999999915,Published envelope; approximate photographic exterior detail
MEGADRIVE-0026,VolumeScale1,MEGADRIVE-0026 · Volume scale tick001,Controls,white,1,0.01562506192982967,1.4000000000000057,0.28000000000000114,0.03999999999999915,Published envelope; approximate photographic exterior detail
MEGADRIVE-0027,VolumeScale2,MEGADRIVE-0027 · Volume scale tick002,Controls,white,1,0.01562506192982967,1.4000000000000057,0.28000000000000114,0.03999999999999915,Published envelope; approximate photographic exterior detail
MEGADRIVE-0028,VolumeScale3,MEGADRIVE-0028 · Volume scale tick003,Controls,white,1,0.01562506192982967,1.4000000000000057,0.28000000000000114,0.03999999999999915,Published envelope; approximate photographic exterior detail
MEGADRIVE-0029,VolumeScale4,MEGADRIVE-0029 · Volume scale tick004,Controls,white,1,0.01562506192982967,1.4000000000000057,0.28000000000000114,0.03999999999999915,Published envelope; approximate photographic exterior detail
MEGADRIVE-0030,VolumeScale5,MEGADRIVE-0030 · Volume scale tick005,Controls,white,1,0.02794506192982959,2.5,0.28000000000000114,0.03999999999999915,Published envelope; approximate photographic exterior detail
MEGADRIVE-0031,VolumeScale6,MEGADRIVE-0031 · Volume scale tick006,Controls,white,1,0.015625061929829674,1.4000000000000057,0.28000000000000114,0.03999999999999915,Published envelope; approximate photographic exterior detail
MEGADRIVE-0032,VolumeScale7,MEGADRIVE-0032 · Volume scale tick007,Controls,white,1,0.015625061929829674,1.4000000000000057,0.28000000000000114,0.03999999999999915,Published envelope; approximate photographic exterior detail
MEGADRIVE-0033,VolumeScale8,MEGADRIVE-0033 · Volume scale tick008,Controls,white,1,0.015625061929829674,1.4000000000000057,0.28000000000000114,0.03999999999999915,Published envelope; approximate photographic exterior detail
MEGADRIVE-0034,VolumeScale9,MEGADRIVE-0034 · Volume scale tick009,Controls,white,1,0.015625061929829674,1.4000000000000057,0.28000000000000114,0.03999999999999915,Published envelope; approximate photographic exterior detail
MEGADRIVE-0035,VolumeScale10,MEGADRIVE-0035 · Volume scale tick010,Controls,white,1,0.027945061929829585,2.5,0.28000000000000114,0.03999999999999915,Published envelope; approximate photographic exterior detail
MEGADRIVE-0036,VolumeTitle,MEGADRIVE-0036 · PHONES VOL,Controls,white,9,0.12622024036246798,13.982143556375846,1.6566444953019897,0.01800020000000302,Published envelope; approximate photographic exterior detail
MEGADRIVE-0037,ResetTitle,MEGADRIVE-0037 · RESET,Controls,white,5,0.06696504262346799,6.811409495973152,1.6566444953019897,0.01800020000000302,Published envelope; approximate photographic exterior detail
MEGADRIVE-0038,PowerTitle,MEGADRIVE-0038 · POWER,Controls,white,5,0.0805915610568298,7.8386117771812,1.656644495302018,0.01800020000000302,Published envelope; approximate photographic exterior detail
