Part number,Part ID,Label,Assembly,Material,Solid count,Volume mm3,X mm,Y mm,Z mm,Fidelity
N64-0001,LowerHousing,N64-0001 · Rounded lower enclosure with corner pods011,Body,n64grey,1,121495.8012514862,260.0,190.0,24.000000000000018,Published envelope; approximate photographic exterior detail
N64-0002,UpperHousing,N64-0002 · Original transverse arched upper enclosure014,Body,n64grey,1,113993.67515732885,260.0,190.0,68.80000020011116,Published envelope; approximate photographic exterior detail
N64-0003,Foot0,N64-0003 · Corner support foot004,Body,rubber,1,1343.668602718315,32.0,32.0,1.7,Published envelope; approximate photographic exterior detail
N64-0004,Foot1,N64-0004 · Corner support foot005,Body,rubber,1,1343.668602718315,32.0,32.0,1.7,Published envelope; approximate photographic exterior detail
N64-0005,Foot2,N64-0005 · Corner support foot006,Body,rubber,1,1343.668602718315,32.0,32.0,1.7,Published envelope; approximate photographic exterior detail
N64-0006,Foot3,N64-0006 · Corner support foot007,Body,rubber,1,1343.668602718315,32.0,32.0,1.7,Published envelope; approximate photographic exterior detail
N64-0007,PortCup1,N64-0007 · Controller 1 grey socket body001,Ports,portgrey,1,2196.0408464366087,27.0,17.75,27.0,Published envelope; approximate photographic exterior detail
N64-0008,PortInsert1,N64-0008 · Three-position connector insert,Ports,portgrey,1,839.7745065947017,19.716417910447774,4.299999999999997,13.400000000000002,Schematic internal layout
N64-0009,PortContact1_0,N64-0009 · Three-wire controller socket contact012,Ports,gold,1,21.9269332384867,2.8000000000000114,21.64000010000001,18.599999999999998,Published envelope; approximate photographic exterior detail
N64-0010,PortContact1_1,N64-0010 · Three-wire controller socket contact013,Ports,gold,1,21.926933238487575,2.8000000000000114,21.64000010000001,18.599999999999998,Published envelope; approximate photographic exterior detail
N64-0011,PortContact1_2,N64-0011 · Three-wire controller socket contact014,Ports,gold,1,21.92693323848757,2.8000000000000114,21.64000010000001,18.599999999999998,Published envelope; approximate photographic exterior detail
N64-0012,PortDot1_0,N64-0012 · Controller index dot,Ports,portgrey,1,0.0760265422168726,1.0999999999999943,0.0799999999999983,1.1000000000000014,Published envelope; approximate photographic exterior detail
N64-0013,PortCup2,N64-0013 · Controller 2 grey socket body001,Ports,portgrey,1,2196.0408464366087,27.0,17.75,27.0,Published envelope; approximate photographic exterior detail
N64-0014,PortInsert2,N64-0014 · Three-position connector insert001,Ports,portgrey,1,839.7745065947017,19.71641791044776,4.299999999999997,13.400000000000002,Schematic internal layout
N64-0015,PortContact2_0,N64-0015 · Three-wire controller socket contact015,Ports,gold,1,21.926933238487642,2.799999999999997,21.64000010000001,18.599999999999998,Published envelope; approximate photographic exterior detail
N64-0016,PortContact2_1,N64-0016 · Three-wire controller socket contact016,Ports,gold,1,21.926933238487635,2.799999999999997,21.64000010000001,18.599999999999998,Published envelope; approximate photographic exterior detail
N64-0017,PortContact2_2,N64-0017 · Three-wire controller socket contact017,Ports,gold,1,21.92693323848764,2.799999999999997,21.64000010000001,18.599999999999998,Published envelope; approximate photographic exterior detail
N64-0018,PortDot2_0,N64-0018 · Controller index dot001,Ports,portgrey,1,0.0760265422168725,1.0999999999999943,0.0799999999999983,1.1000000000000014,Published envelope; approximate photographic exterior detail
N64-0019,PortDot2_1,N64-0019 · Controller index dot002,Ports,portgrey,1,0.0760265422168725,1.0999999999999943,0.0799999999999983,1.1000000000000014,Published envelope; approximate photographic exterior detail
N64-0020,PortCup3,N64-0020 · Controller 3 grey socket body001,Ports,portgrey,1,2196.0408464366087,27.0,17.75,27.0,Published envelope; approximate photographic exterior detail
N64-0021,PortInsert3,N64-0021 · Three-position connector insert002,Ports,portgrey,1,839.7745065947017,19.71641791044776,4.299999999999997,13.400000000000002,Schematic internal layout
N64-0022,PortContact3_0,N64-0022 · Three-wire controller socket contact018,Ports,gold,1,21.926933238487443,2.799999999999997,21.64000010000001,18.599999999999998,Published envelope; approximate photographic exterior detail
N64-0023,PortContact3_1,N64-0023 · Three-wire controller socket contact019,Ports,gold,1,21.92693323848744,2.799999999999997,21.64000010000001,18.599999999999998,Published envelope; approximate photographic exterior detail
N64-0024,PortContact3_2,N64-0024 · Three-wire controller socket contact020,Ports,gold,1,21.92693323848744,2.799999999999997,21.64000010000001,18.599999999999998,Published envelope; approximate photographic exterior detail
N64-0025,PortDot3_0,N64-0025 · Controller index dot003,Ports,portgrey,1,0.0760265422168725,1.0999999999999943,0.0799999999999983,1.1000000000000014,Published envelope; approximate photographic exterior detail
N64-0026,PortDot3_1,N64-0026 · Controller index dot004,Ports,portgrey,1,0.0760265422168725,1.0999999999999943,0.0799999999999983,1.1000000000000014,Published envelope; approximate photographic exterior detail
N64-0027,PortDot3_2,N64-0027 · Controller index dot005,Ports,portgrey,1,0.0760265422168725,1.0999999999999943,0.0799999999999983,1.1000000000000014,Published envelope; approximate photographic exterior detail
N64-0028,PortCup4,N64-0028 · Controller 4 grey socket body001,Ports,portgrey,1,2196.0408464366087,27.0,17.75,27.0,Published envelope; approximate photographic exterior detail
N64-0029,PortInsert4,N64-0029 · Three-position connector insert003,Ports,portgrey,1,839.7745065947017,19.716417910447774,4.299999999999997,13.400000000000002,Schematic internal layout
N64-0030,PortContact4_0,N64-0030 · Three-wire controller socket contact021,Ports,gold,1,21.92693323848757,2.8000000000000114,21.64000010000001,18.599999999999998,Published envelope; approximate photographic exterior detail
N64-0031,PortContact4_1,N64-0031 · Three-wire controller socket contact022,Ports,gold,1,21.926933238487575,2.8000000000000114,21.64000010000001,18.599999999999998,Published envelope; approximate photographic exterior detail
N64-0032,PortContact4_2,N64-0032 · Three-wire controller socket contact023,Ports,gold,1,21.92693323848757,2.8000000000000114,21.64000010000001,18.599999999999998,Published envelope; approximate photographic exterior detail
N64-0033,PortDot4_0,N64-0033 · Controller index dot006,Ports,portgrey,1,0.0760265422168726,1.0999999999999943,0.0799999999999983,1.1000000000000014,Published envelope; approximate photographic exterior detail
N64-0034,PortDot4_1,N64-0034 · Controller index dot007,Ports,portgrey,1,0.0760265422168726,1.0999999999999943,0.0799999999999983,1.1000000000000014,Published envelope; approximate photographic exterior detail
N64-0035,PortDot4_2,N64-0035 · Controller index dot008,Ports,portgrey,1,0.0760265422168726,1.0999999999999943,0.0799999999999983,1.1000000000000014,Published envelope; approximate photographic exterior detail
N64-0036,PortDot4_3,N64-0036 · Controller index dot009,Ports,portgrey,1,0.0760265422168726,1.0999999999999943,0.0799999999999983,1.1000000000000014,Published envelope; approximate photographic exterior detail
N64-0037,FrontBadge,N64-0037 · Central black front badge,Body,black,1,769.0938009881562,58.0,0.45000000000000284,30.0,Published envelope; approximate photographic exterior detail
N64-0038,Nintendo64Title,N64-0038 · NINTENDO 64,Body,white,10,0.6792331279971463,32.30500419463088,0.01800019999998881,3.605637783892618,Published envelope; approximate photographic exterior detail
N64-0039,ColourMark0,N64-0039 · N64 colour study mark,Body,ngreen,1,10.00000000000052,20.0,0.04000000000000625,18.0,Published envelope; approximate photographic exterior detail
N64-0040,ColourMark1,N64-0040 · N64 colour study mark001,Body,nblue,1,2.88000000000015,4.0,0.04000000000000625,21.0,Published envelope; approximate photographic exterior detail
N64-0041,ColourMark2,N64-0041 · N64 colour study mark002,Body,nyellow,1,0.6000000000000312,9.0,0.04000000000000625,3.0,Published envelope; approximate photographic exterior detail
N64-0042,PowerLens,N64-0042 · Small front power indicator,Controls,red,1,8.88194671058465,7.6,0.5,2.5,Published envelope; approximate photographic exterior detail
N64-0043,CartridgeDeck,N64-0043 · D-shaped curved top cartridge insert002,Body,n64grey,1,16218.239368999151,146.00000020000024,106.00000020000002,10.400000200000008,Published envelope; approximate photographic exterior detail
N64-0044,DustFlap0,N64-0044 · Opposed grey cartridge dust door,CardReader,portgrey,1,1372.0396447372325,122.0,9.400000000000006,1.2000000000000028,Published envelope; approximate photographic exterior detail
N64-0045,FlapMark0_-1,N64-0045 · Cartridge door moulding line,CardReader,n64grey,1,0.04914634954085274,0.23999999999999488,8.200000000000003,0.025000000000005684,Published envelope; approximate photographic exterior detail
N64-0046,FlapMark0_1,N64-0046 · Cartridge door moulding line001,CardReader,n64grey,1,0.04914634954085274,0.23999999999999488,8.200000000000003,0.025000000000005684,Published envelope; approximate photographic exterior detail
N64-0047,DustFlap1,N64-0047 · Opposed grey cartridge dust door001,CardReader,portgrey,1,1372.0396447372325,122.0,9.400000000000006,1.2000000000000028,Published envelope; approximate photographic exterior detail
N64-0048,FlapMark1_-1,N64-0048 · Cartridge door moulding line002,CardReader,n64grey,1,0.04914634954085274,0.23999999999999488,8.200000000000003,0.025000000000005684,Published envelope; approximate photographic exterior detail
N64-0049,FlapMark1_1,N64-0049 · Cartridge door moulding line003,CardReader,n64grey,1,0.04914634954085274,0.23999999999999488,8.200000000000003,0.025000000000005684,Published envelope; approximate photographic exterior detail
N64-0050,TopNintendo,N64-0050 · Nintendo,Body,black,9,0.2913644219215424,17.545688019463086,3.095839126174482,0.01800019999998881,Published envelope; approximate photographic exterior detail
N64-0051,MemoryCover,N64-0051 · Curved memory expansion cover001,Body,n64grey,1,4818.941136036975,66.20000020000003,43.200000200000005,3.5427327001122677,Published envelope; approximate photographic exterior detail
N64-0052,MemoryTitle,N64-0052 · MEMORY EXPANSION,Body,black,15,0.2752154994432823,25.120008389261745,1.8515438241610553,0.01800019999998881,Published envelope; approximate photographic exterior detail
N64-0053,MemoryDot0,N64-0053 · Memory-cover finger index,Body,black,1,0.04523893421169535,1.1999999999999993,1.2000000000000028,0.04000000000000625,Published envelope; approximate photographic exterior detail
N64-0054,MemoryDot1,N64-0054 · Memory-cover finger index001,Body,black,1,0.04523893421169536,1.2000000000000002,1.2000000000000028,0.04000000000000625,Published envelope; approximate photographic exterior detail
N64-0055,MemoryDot2,N64-0055 · Memory-cover finger index002,Body,black,1,0.04523893421169535,1.2000000000000006,1.2000000000000028,0.04000000000000625,Published envelope; approximate photographic exterior detail
N64-0056,MemoryDot3,N64-0056 · Memory-cover finger index003,Body,black,1,0.04523893421169535,1.1999999999999993,1.2000000000000028,0.04000000000000625,Published envelope; approximate photographic exterior detail
N64-0057,PowerWell,N64-0057 · Power recessed switch surround,Controls,black,1,658.4849350939937,18.400000000000006,39.400000000000006,1.0,Published envelope; approximate photographic exterior detail
N64-0058,PowerButton,N64-0058 · Power control cap,Controls,n64grey,1,1495.5276479870204,15.300000000000011,31.0,3.5,Published envelope; approximate photographic exterior detail
N64-0059,PowerTitle,N64-0059 · POWER,Controls,black,5,0.1349699500052098,10.144085770469786,2.143892817449654,0.01800020000000302,Published envelope; approximate photographic exterior detail
N64-0060,ResetWell,N64-0060 · Reset recessed switch surround,Controls,black,1,658.4849350939937,18.400000000000006,39.400000000000006,1.0,Published envelope; approximate photographic exterior detail
N64-0061,ResetButton,N64-0061 · Reset control cap,Controls,n64grey,1,1495.5276479870201,15.300000000000011,31.0,3.5,Published envelope; approximate photographic exterior detail
N64-0062,ResetTitle,N64-0062 · RESET,Controls,black,5,0.11214906792303989,8.814765200671147,2.143892817449654,0.01800020000000302,Published envelope; approximate photographic exterior detail
N64-0063,PowerGrip,N64-0063 · Power slider raised grip,Controls,n64grey,1,92.3371669411541,13.0,3.700000000000003,2.0,Published envelope; approximate photographic exterior detail
N64-0064,PSULower,N64-0064 · Removable NUS-002 power module lower shell002,Power,black,1,11057.494754267314,61.800000000000004,39.800000000000004,21.0,Published envelope; approximate photographic exterior detail
N64-0065,PSUUpper,N64-0065 · Removable NUS-002 power module upper shell002,Power,black,1,12491.349599151003,61.80000010000003,39.8000002,25.00000020000004,Published envelope; approximate photographic exterior detail
N64-0066,PSURelease,N64-0066 · Power module release latch,Power,n64grey,1,153.98102592124337,13.0,10.0,1.2000000000000028,Published envelope; approximate photographic exterior detail
N64-0067,MultiOutHousing,N64-0067 · Nintendo Multi Out insulated housing,Ports,black,1,853.9597651604339,26.0,9.0,10.0,Published envelope; approximate photographic exterior detail
N64-0068,MultiOutTongue,N64-0068 · Multi Out contact tongue,Ports,black,1,155.63393797973725,21.800000000000004,6.5,1.1000000000000014,Schematic internal layout
N64-0069,MultiOutContact0_0,N64-0069 · Multi Out contact,Ports,gold,1,0.8114506192983029,1.4000000000000057,5.800000000000011,0.10000000000000142,Schematic internal layout
N64-0070,MultiOutContact0_1,N64-0070 · Multi Out contact001,Ports,gold,1,0.8114506192983029,1.4000000000000057,5.800000000000011,0.10000000000000142,Schematic internal layout
N64-0071,MultiOutContact0_2,N64-0071 · Multi Out contact002,Ports,gold,1,0.8114506192983029,1.4000000000000057,5.800000000000011,0.10000000000000142,Schematic internal layout
N64-0072,MultiOutContact0_3,N64-0072 · Multi Out contact003,Ports,gold,1,0.8114506192983029,1.4000000000000057,5.800000000000011,0.10000000000000142,Schematic internal layout
N64-0073,MultiOutContact0_4,N64-0073 · Multi Out contact004,Ports,gold,1,0.8114506192983029,1.4000000000000057,5.800000000000011,0.10000000000000142,Schematic internal layout
N64-0074,MultiOutContact0_5,N64-0074 · Multi Out contact005,Ports,gold,1,0.8114506192983029,1.4000000000000057,5.800000000000011,0.10000000000000142,Schematic internal layout
N64-0075,MultiOutContact1_0,N64-0075 · Multi Out contact006,Ports,gold,1,0.8114506192983029,1.4000000000000057,5.800000000000011,0.10000000000000142,Schematic internal layout
N64-0076,MultiOutContact1_1,N64-0076 · Multi Out contact007,Ports,gold,1,0.8114506192983029,1.4000000000000057,5.800000000000011,0.10000000000000142,Schematic internal layout
N64-0077,MultiOutContact1_2,N64-0077 · Multi Out contact008,Ports,gold,1,0.8114506192983029,1.4000000000000057,5.800000000000011,0.10000000000000142,Schematic internal layout
N64-0078,MultiOutContact1_3,N64-0078 · Multi Out contact009,Ports,gold,1,0.8114506192983029,1.4000000000000057,5.800000000000011,0.10000000000000142,Schematic internal layout
N64-0079,MultiOutContact1_4,N64-0079 · Multi Out contact010,Ports,gold,1,0.8114506192983029,1.4000000000000057,5.800000000000011,0.10000000000000142,Schematic internal layout
N64-0080,MultiOutContact1_5,N64-0080 · Multi Out contact011,Ports,gold,1,0.8114506192983029,1.4000000000000057,5.800000000000011,0.10000000000000142,Schematic internal layout
