Part number,Part ID,Label,Assembly,Material,Solid count,Volume mm3,X mm,Y mm,Z mm,Fidelity
NDS-0001,BackCover,NDS-0001 · NTR-001 rear cover009,Body,black,1,12672.194524424269,146.89999999999998,82.9,1.25,Published envelope; approximate local detail
NDS-0002,LowerCaseSeam,NDS-0002 · Lower case parting line001,Body,black,1,16.16642228855551,148.2,77.1,0.030000000000001137,Published envelope; approximate local detail
NDS-0003,LidBackCover,NDS-0003 · Original DS upper outer cover004,Lid,accent,1,10810.670490256573,142.5,66.26508753944377,39.01750151509469,Published envelope; approximate local detail
NDS-0004,MainFrame,NDS-0004 · Original DS deep lower frame016,Body,accent,2,12277.39744502978,148.70000009999998,84.7000002,16.2000002,Published envelope; approximate local detail
NDS-0005,LidFrame,NDS-0005 · Upper display support frame003,Lid,accent,1,4197.441888890452,142.10000019999998,67.32387368237352,44.70199252821756,Published envelope; approximate local detail
NDS-0006,LeftHingeSleeve,NDS-0006 · Original DS hinge sleeve,Hinge,accent,1,185.62100193735284,6.0,7.0,7.0,Published envelope; approximate local detail
NDS-0007,CenterHingeSleeve,NDS-0007 · Original DS hinge sleeve001,Hinge,accent,1,1763.3995184048526,57.0,7.0,7.0,Published envelope; approximate local detail
NDS-0008,RightHingeSleeve,NDS-0008 · Original DS hinge sleeve002,Hinge,accent,1,185.62100193735284,6.0,7.0,7.0,Published envelope; approximate local detail
NDS-0009,LeftHingeAxle,NDS-0009 · Hinge axle,Hinge,metal,1,80.04778081346794,13.0,2.799999999999997,2.799999999999997,Schematic internal layout
NDS-0010,RightHingeAxle,NDS-0010 · Hinge axle001,Hinge,metal,1,129.30795362175587,21.0,2.799999999999997,2.799999999999997,Schematic internal layout
NDS-0011,HingeWasher-1,NDS-0011 · Hinge end spacer,Hinge,metal,1,9.598146751357742,0.3500000000000014,6.599999999999994,6.600000000000001,Published envelope; approximate local detail
NDS-0012,HingeWasher1,NDS-0012 · Hinge end spacer001,Hinge,metal,1,9.598146751357742,0.3500000000000014,6.599999999999994,6.600000000000001,Published envelope; approximate local detail
NDS-0013,FrontDeck,NDS-0013 · Original DS control deck022,Body,accent,1,6572.745516802936,148.0,84.0,1.0500000000000007,Published envelope; approximate local detail
NDS-0014,LowerDisplaySurround,NDS-0014 · Lower black screen border,Display,bezel,1,590.7174747599323,72.0,56.0,0.4800000000000004,Published envelope; approximate local detail
NDS-0015,LowerLCD,NDS-0015 · Lower 3-inch LCD,Display,black,1,9031.731641140486,67.5,50.5,2.6499999999999986,Schematic internal layout
NDS-0016,LowerLCDBackplate,NDS-0016 · Lower LCD steel backplate,Display,metal,1,852.0501548245743,67.5,50.5,0.25,Schematic internal layout
NDS-0017,LowerTouchDigitizer,NDS-0017 · Resistive touch panel,Display,screen,1,195.0950320084297,60.96,45.72,0.07000000000000028,Published envelope; approximate local detail
NDS-0018,LowerGlass,NDS-0018 · Lower display cover,Display,screen,1,390.19006401685937,60.96,45.72,0.14000000000000057,Published envelope; approximate local detail
NDS-0019,LidBezel,NDS-0019 · Silver speaker and display bezel013,Lid,accent,1,2463.3230688176445,141.6500002,63.354902670980216,36.81990226814673,Published envelope; approximate local detail
NDS-0020,UpperDisplaySurround,NDS-0020 · Upper black screen border,LidDisplay,bezel,1,590.7174747599322,72.0,48.73742261192858,28.415692193816533,Published envelope; approximate local detail
NDS-0021,UpperLCD,NDS-0021 · Upper 3-inch LCD,LidDisplay,black,1,9031.731641140484,67.5,45.059282891114165,27.54496732002876,Schematic internal layout
NDS-0022,UpperLCDBackplate,NDS-0022 · Upper LCD steel backplate,LidDisplay,metal,1,852.0501548245742,67.5,43.85928289111416,25.466506350946112,Schematic internal layout
NDS-0023,UpperGlass,NDS-0023 · Upper display cover,LidDisplay,screen,1,390.1900640168585,60.96,39.66468146102454,22.981243556529826,Published envelope; approximate local detail
NDS-0024,ControlField-1,NDS-0024 · Inset control field007,Body,accent,1,639.5574748422202,31.20000000000001,63.400000000000006,0.370000000000001,Published envelope; approximate local detail
