Part number,Part ID,Label,Assembly,Material,Solid count,Volume mm3,X mm,Y mm,Z mm,Fidelity
PS1-0001,LowerHousing,PS1-0001 · Original grey lower housing028,Body,psgrey,1,109027.4257209725,270.0,188.0,41.099999999999994,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0002,UpperHousing,PS1-0002 · Original grey upper enclosure037,Body,psgrey,1,102584.17487876225,270.00000009999997,188.0000001,51.1000001,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0003,Foot0,PS1-0003 · Rubber support foot,Body,rubber,1,240.88991118430766,18.0,11.199999999999989,1.2,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0004,Foot1,PS1-0004 · Rubber support foot001,Body,rubber,1,240.88991118430766,18.0,11.199999999999989,1.2,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0005,Foot2,PS1-0005 · Rubber support foot002,Body,rubber,1,240.88991118430766,18.0,11.199999999999989,1.2,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0006,Foot3,PS1-0006 · Rubber support foot003,Body,rubber,1,240.88991118430766,18.0,11.199999999999989,1.2,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0007,DiscLid,PS1-0007 · Circular hinged disc lid009,Optical,psgrey,1,33315.759522327506,170.0,170.0,14.17895715549703,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0008,PowerButton,PS1-0008 · POWER button,Controls,psgrey,1,1891.9070995710622,32.4000001,32.4000002,2.299999999999997,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0009,PowerLegend,PS1-0009 · POWER,Controls,psgreen,5,0.12297881808325956,9.682990971812075,2.0464431530201352,0.01800020000000302,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0010,OpenButton,PS1-0010 · OPEN button,Controls,psgrey,1,1891.9070995710617,32.4000001,32.4000002,2.299999999999997,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0011,OpenLegend,PS1-0011 · OPEN,Controls,psblue,4,0.0926771395050489,7.07516788523489,2.0464431530201352,0.01800020000000302,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0012,ResetButton,PS1-0012 · RESET button,Controls,psgrey,1,393.6842049827733,14.800000100000005,14.799999999999997,2.299999999999997,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0013,ResetLegend,PS1-0013 · RESET,Controls,psdark,5,0.04541573824982593,5.6093960731543575,1.3642955020134266,0.01800020000000302,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0014,PowerLens,PS1-0014 · Narrow power indicator,Controls,psgreen,1,9.090342917352883,2.0,9.100000000000023,0.5,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0015,SonyMark,PS1-0015 · SONY,Optical,psdark,4,0.3137386357033507,14.008053791275167,3.8979867771812096,0.01800020000000302,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0016,PlayStationMark,PS1-0016 · PlayStation,Optical,psdark,12,0.40890590744647753,23.195927213422813,4.119463187248325,0.01800020000000302,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0017,FrontPortPCB,PS1-0017 · Shared controller and memory-card PCB003,FrontIO,pcb,1,2986.4075679959724,131.00000000000028,18.0,1.3000000000000007,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0018,Port1Frame,PS1-0018 · Controller 1 and memory-card front frame,FrontIO,psgrey,1,1924.3606822173829,49.400000000000006,3.000000000000014,28.400000000000002,Approximate SCPH-1000 exterior; family dimensions and firsthand photographs
PS1-0019,Port1Case,PS1-0019 · Insulated dual connector housing004,FrontIO,psdark,1,3596.0548618763364,47.0,14.9000001,25.799999999999997,Schematic internal layout
