Part number,Part ID,Label,Assembly,Material,Solid count,Volume mm3,X mm,Y mm,Z mm,Fidelity
PSP-0001,BackCover,PSP-0001 · PSP-1000 rear enclosure blank010,Body,accent,1,5146.403906248365,127.25000019999999,73.0000002,1.2000001,Published envelope; approximate local detail
PSP-0002,MainFrame,PSP-0002 · Original PSP structural perimeter027,Body,accent,1,14208.526699836286,170.0000002,74.0000001,20.4000002,Published envelope; approximate local detail
PSP-0003,FrontBezel,PSP-0003 · Glossy PSP front face blank029,Body,accent,2,5501.394160136657,169.60000019999998,73.6000002,1.2000001000000005,Published envelope; approximate local detail
PSP-0004,PerimeterTrim,PSP-0004 · Silver perimeter trim001,Body,metal,2,124.59955295326506,169.98000009999998,73.98000010000001,1.0000002000010468,Published envelope; approximate local detail
PSP-0005,DisplaySurround,PSP-0005 · Wide LCD black surround,Display,bezel,1,369.31903945724974,102.0,60.5,0.3500000000000014,Published envelope; approximate local detail
PSP-0006,LCDBackplate,PSP-0006 · LCD steel backplate,Display,metal,1,1741.3618141200786,99.4,58.400000000000006,0.3000000000000007,Schematic internal layout
PSP-0007,LCD,PSP-0007 · 4.3-inch TFT display module,Display,black,1,17799.242017401415,99.0,58.0,3.1000000000000014,Schematic internal layout
PSP-0008,BacklightFilm,PSP-0008 · LCD optical diffuser study,Display,screen,1,504.33256637061675,94.8,53.2,0.10000000000000142,Schematic internal layout
PSP-0009,DisplayGlass,PSP-0009 · Wide display window,Display,screen,1,1019.4780327412275,95.19,53.55,0.1999999999999993,Published envelope; approximate local detail
PSP-0010,DPadUp,PSP-0010 · Up directional key,Controls,black,1,25.175000000000004,6.0,7.300000000000001,0.9499999999999993,Published envelope; approximate local detail
PSP-0011,DPadStemUp,PSP-0011 · Directional-key stem,Controls,black,1,10.263583199277852,3.3000000000000114,3.299999999999999,1.1999999999999993,Schematic internal layout
PSP-0012,DPadArrowUp,PSP-0012 · Direction arrow,Controls,white,1,0.03199999999999927,1.5999999999999943,1.5999999999999996,0.02499999999999858,Published envelope; approximate local detail
PSP-0013,DPadRight,PSP-0013 · Right directional key,Controls,black,1,25.174999999999997,7.300000000000004,6.0,0.9499999999999993,Published envelope; approximate local detail
PSP-0014,DPadStemRight,PSP-0014 · Directional-key stem001,Controls,black,1,10.26358319927785,3.299999999999997,3.3000000000000007,1.1999999999999993,Schematic internal layout
PSP-0015,DPadArrowRight,PSP-0015 · Direction arrow001,Controls,white,1,0.031999999999999265,1.6000000000000085,1.5999999999999943,0.02499999999999858,Published envelope; approximate local detail
PSP-0016,DPadDown,PSP-0016 · Down directional key,Controls,black,1,25.174999999999997,6.0,7.300000000000001,0.9499999999999993,Published envelope; approximate local detail
PSP-0017,DPadStemDown,PSP-0017 · Directional-key stem002,Controls,black,1,10.263583199277852,3.3000000000000043,3.3000000000000003,1.1999999999999993,Schematic internal layout
PSP-0018,DPadArrowDown,PSP-0018 · Direction arrow002,Controls,white,1,0.03199999999999927,1.5999999999999943,1.5999999999999996,0.02499999999999858,Published envelope; approximate local detail
PSP-0019,DPadLeft,PSP-0019 · Left directional key,Controls,black,1,25.175000000000004,7.300000000000011,6.000000000000002,0.9499999999999993,Published envelope; approximate local detail
PSP-0020,DPadStemLeft,PSP-0020 · Directional-key stem003,Controls,black,1,10.263583199277855,3.3000000000000114,3.3000000000000007,1.1999999999999993,Schematic internal layout
PSP-0021,DPadArrowLeft,PSP-0021 · Direction arrow003,Controls,white,1,0.031999999999999335,1.6000000000000085,1.5999999999999943,0.02499999999999858,Published envelope; approximate local detail
PSP-0022,DPadCarrier,PSP-0022 · Directional-key common carrier,Internal,black,1,83.22550178257413,17.400000000000006,17.4,0.3500000000000014,Schematic internal layout
PSP-0023,ButtonTriangle,PSP-0023 · Triangle button,Controls,black,1,57.866512645938485,8.040000199999987,8.0400002,1.1499999999999986,Published envelope; approximate local detail
PSP-0024,ButtonSymbolTriangle,PSP-0024 · Triangle button symbol,Controls,white,1,0.0687700000000009,3.5999999999999943,3.0500000000000007,0.02500000000000213,Published envelope; approximate local detail
