Part number,Part ID,Label,Assembly,Material,Solid count,Volume mm3,X mm,Y mm,Z mm,Fidelity
PSV-0001,BackCover,PSV-0001 · Original Vita rear shell blank010,Body,accent,1,6996.677283290439,179.6000002,81.10000020000001,1.1500002,Published envelope; approximate local detail
PSV-0002,MainFrame,PSV-0002 · PCH-1000 structural perimeter022,Body,accent,1,9500.834479567955,182.0000002,83.50000020000002,15.950000200000005,Published envelope; approximate local detail
PSV-0003,FrontFace,PSV-0003 · Glossy Vita front face blank029,Body,accent,1,5561.286843946922,181.6000002,83.10000020000001,1.3000002000000102,Published envelope; approximate local detail
PSV-0004,SilverRim,PSV-0004 · Original OLED-model silver perimeter rim020,Body,metal,1,1236.2904851370993,181.9800002,83.48000010000001,8.500000199999999,Published envelope; approximate local detail
PSV-0005,DisplaySurround,PSV-0005 · OLED window surround,Display,bezel,1,300.65392922013626,116.0,67.0,0.3500000000000014,Published envelope; approximate local detail
PSV-0006,OLEDBackplate,PSV-0006 · OLED module backplate,Display,metal,1,2249.798814120079,114.5,65.5,0.3000000000000007,Schematic internal layout
PSV-0007,OLED,PSV-0007 · 5-inch OLED module study,Display,black,1,28156.82569875011,114.0,65.0,3.799999999999999,Schematic internal layout
PSV-0008,FrontTouchLayer,PSV-0008 · Front capacitive touch layer,Display,screen,1,1033.728759555918,110.69,62.260000000000005,0.14999999999999858,Schematic internal layout
PSV-0009,DisplayGlass,PSV-0009 · 5-inch front display window,Display,screen,1,1722.8812659265357,110.69,62.260000000000005,0.25,Published envelope; approximate local detail
PSV-0010,ControlField-1,PSV-0010 · Vita directional / stick control field011,Body,shell,1,114.37026885392709,22.199999999999996,44.400000000000006,0.45000000000000284,Published envelope; approximate local detail
PSV-0011,ControlField1,PSV-0011 · Vita directional / stick control field012,Body,shell,1,118.1226760610695,22.199999999999996,44.400000000000006,0.45000000000000284,Published envelope; approximate local detail
PSV-0012,DPad,PSV-0012 · Connected four-way directional key,Controls,black,1,186.6927299109645,18.0,18.0,1.1000000000000014,Published envelope; approximate local detail
PSV-0013,DPadArrow0,PSV-0013 · Directional arrow,Controls,white,1,0.014625000000000311,1.3000000000000114,1.25,0.018000000000000682,Published envelope; approximate local detail
PSV-0014,DPadStem0,PSV-0014 · D-pad plunger,Controls,black,1,18.472564803107982,2.8000000000000114,2.799999999999997,3.0,Schematic internal layout
PSV-0015,DPadArrow1,PSV-0015 · Directional arrow001,Controls,white,1,0.014625000000000308,1.25,1.3000000000000114,0.018000000000000682,Published envelope; approximate local detail
PSV-0016,DPadStem1,PSV-0016 · D-pad plunger001,Controls,black,1,18.47256480310798,2.8000000000000114,2.799999999999999,3.0,Schematic internal layout
PSV-0017,DPadArrow2,PSV-0017 · Directional arrow002,Controls,white,1,0.014625000000000311,1.3000000000000114,1.25,0.018000000000000682,Published envelope; approximate local detail
PSV-0018,DPadStem2,PSV-0018 · D-pad plunger002,Controls,black,1,18.47256480310798,2.8000000000000114,2.8000000000000007,3.0,Schematic internal layout
PSV-0019,DPadArrow3,PSV-0019 · Directional arrow003,Controls,white,1,0.014625000000000304,1.25,1.3000000000000114,0.018000000000000682,Published envelope; approximate local detail
PSV-0020,DPadStem3,PSV-0020 · D-pad plunger003,Controls,black,1,18.47256480310798,2.8000000000000114,2.799999999999999,3.0,Schematic internal layout
PSV-0021,ButtonTriangle,PSV-0021 · Triangle action button,Controls,black,1,39.349306615473544,7.100000199999982,7.100000200000004,1.0,Published envelope; approximate local detail
PSV-0022,ButtonSymbolTriangle,PSV-0022 · Triangle button symbol,Controls,white,1,0.06877000000000119,3.5999999999999943,3.0500000000000007,0.02499999999999858,Published envelope; approximate local detail
PSV-0023,ButtonStemTriangle,PSV-0023 · Action-button plunger,Controls,black,1,15.927874753700259,2.5999999999999943,2.6000000000000014,3.0,Schematic internal layout
PSV-0024,ButtonCircle,PSV-0024 · Circle action button,Controls,black,1,39.349306615473544,7.100000099999988,7.100000200000002,1.0,Published envelope; approximate local detail
PSV-0025,ButtonSymbolCircle,PSV-0025 · Circle button symbol,Controls,white,1,0.06627975100911442,3.1999999999999886,3.200000000000001,0.02499999999999858,Published envelope; approximate local detail
PSV-0026,ButtonStemCircle,PSV-0026 · Action-button plunger001,Controls,black,1,15.927874753700259,2.5999999999999943,2.6000000000000014,3.0,Schematic internal layout
PSV-0027,ButtonCross,PSV-0027 · Cross action button,Controls,black,1,39.34930661547354,7.100000099999988,7.100000199999998,1.0,Published envelope; approximate local detail
PSV-0028,ButtonSymbolCross,PSV-0028 · Cross button symbol,Controls,white,1,0.05977132741228275,2.9508535316173834,2.9508535316173816,0.02499999999999858,Published envelope; approximate local detail
