Part number,Part ID,Label,Assembly,Material,Solid count,Volume mm3,X mm,Y mm,Z mm,Fidelity
SATURN-0001,LowerHousing,SATURN-0001 · HST-3200 lower enclosure014,Body,saturngrey,1,149197.77589952803,260.0,230.0,29.0,Approximate original Japanese exterior
SATURN-0002,UpperHousing,SATURN-0002 · Raised central deck and sloped side shoulders037,Body,saturngrey,3,220600.73945893953,260.0000002,230.0000002,57.7500002,Approximate original Japanese exterior
SATURN-0003,Foot0,SATURN-0003 · Lower rubber support004,Body,rubber,1,361.30212253330797,17.0,12.0,2.0,Approximate original Japanese exterior
SATURN-0004,Foot1,SATURN-0004 · Lower rubber support005,Body,rubber,1,361.30212253330797,17.0,12.0,2.0,Approximate original Japanese exterior
SATURN-0005,Foot2,SATURN-0005 · Lower rubber support006,Body,rubber,1,361.30212253330814,17.0,12.0,2.0,Approximate original Japanese exterior
SATURN-0006,Foot3,SATURN-0006 · Lower rubber support007,Body,rubber,1,361.30212253330814,17.0,12.0,2.0,Approximate original Japanese exterior
SATURN-0007,DiscLid,SATURN-0007 · Native curved-front Saturn disc lid006,Body,saturngrey,1,41596.544664952846,164.21320363559641,157.5000002,7.700000200000005,Approximate original Japanese exterior
SATURN-0008,DiscWell,SATURN-0008 · Deep optical-disc well and pickup passage002,Optical,black,1,43674.42285193047,159.2031915655498,146.1054618833878,17.799999999999997,Schematic internal layout
SATURN-0009,CartridgeDeck,SATURN-0009 · Rear cartridge-bay black liner004,Ports,black,1,2037.028977473378,124.0,19.0,3.400000199999994,Approximate original Japanese exterior
SATURN-0010,CartridgeFlap0,SATURN-0010 · Full-width original cartridge dust door003,Body,saturngrey,1,2137.022689797132,118.6000002,15.100000000000009,3.200000099999997,Approximate original Japanese exterior
SATURN-0011,LidSega,SATURN-0011 · SEGA,Body,metal,4,0.9639857315425812,23.917156140268457,6.821476710067117,0.01800019999998881,Approximate original Japanese exterior
SATURN-0012,SaturnTitle,SATURN-0012 · SEGA SATURN,Body,white,10,1.9420053365854737,56.223271912080534,6.139329059060405,0.01800019999998881,Approximate original Japanese exterior
SATURN-0013,LidAccent,SATURN-0013 · Dark curved disc-lid accent,Body,darkpanel,1,12.046986634549029,68.0,8.026706508981007,0.03499999999999659,Approximate original Japanese exterior
SATURN-0014,LidGripMark0,SATURN-0014 · Three short lid grip marks,Body,saturngrey,1,1.1262477796077082,4.139589389592228,7.428678161604694,0.12000000000000455,Approximate original Japanese exterior
SATURN-0015,LidGripMark1,SATURN-0015 · Three short lid grip marks001,Body,saturngrey,1,1.1262477796077084,4.139589389592226,7.428678161604694,0.12000000000000455,Approximate original Japanese exterior
SATURN-0016,LidGripMark2,SATURN-0016 · Three short lid grip marks002,Body,saturngrey,1,1.1262477796077084,4.139589389592227,7.428678161604694,0.12000000000000455,Approximate original Japanese exterior
SATURN-0017,ControlPanel,SATURN-0017 · Dark curved front control panel005,Body,darkpanel,1,2491.5144860814607,196.14213582373094,47.42857162857143,21.000000200187074,Approximate original Japanese exterior
SATURN-0018,PowerButton,SATURN-0018 · Original blue Power key001,Controls,saturnblue,1,693.0353537858297,24.608413618416108,17.10046765256719,7.1685987692692805,Approximate original Japanese exterior
SATURN-0019,PowerMark,SATURN-0019 · POWER,Controls,saturngrey,5,0.42511197273946705,12.910654562416099,2.7285908040268367,0.03500019999999893,Approximate original Japanese exterior
SATURN-0020,ResetButton,SATURN-0020 · Original blue Reset key001,Controls,saturnblue,1,735.7609739728944,24.608413646053634,17.10046763964047,8.30000011084509,Approximate original Japanese exterior
SATURN-0021,ResetMark,SATURN-0021 · RESET,Controls,saturngrey,5,0.35323352196470564,11.218792046308721,2.7285908040268367,0.03500019999999893,Approximate original Japanese exterior
SATURN-0022,OpenButton,SATURN-0022 · Original blue Open key001,Controls,saturnblue,1,1338.7436546133397,43.00000020000002,12.000000199999988,19.977777977777784,Approximate original Japanese exterior
SATURN-0023,OpenMark,SATURN-0023 · OPEN,Controls,saturngrey,4,0.3203654194019441,9.433557246979866,2.7285908040268225,3.134585584041716,Approximate original Japanese exterior
SATURN-0024,PowerLens,SATURN-0024 · Front Power indicator lens,Controls,led,1,3.8013271108436517,2.200000000000003,2.1999999999999886,1.0,Approximate original Japanese exterior
SATURN-0025,PowerCaption,SATURN-0025 · POWER001,Body,white,5,0.3388995195083702,11.527370166442964,2.4362418107382524,2.7419353230424974,Approximate original Japanese exterior
SATURN-0026,AccessLens,SATURN-0026 · Front Access indicator lens,Controls,red,1,3.8013271108436517,2.200000000000003,2.1999999999999886,1.0,Approximate original Japanese exterior
SATURN-0027,AccessCaption,SATURN-0027 · ACCESS,Body,white,6,0.3288542932093989,12.565226710067122,2.4362418107382524,2.7419353230425116,Approximate original Japanese exterior
SATURN-0028,ControllerPort1,SATURN-0028 · Original Saturn nine-position controller socket,Ports,black,1,2366.741943334419,31.0,14.0,12.000000000000004,Schematic internal layout
SATURN-0029,ControllerTongue1,SATURN-0029 · Controller contact carrier,Ports,black,1,190.73046900494066,26.5,8.0,0.8999999999999986,Schematic internal layout
SATURN-0030,ControllerContact1_0,SATURN-0030 · Controller spring contact,Ports,gold,1,0.7553407431579606,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0031,ControllerContact1_1,SATURN-0031 · Controller spring contact001,Ports,gold,1,0.7553407431579606,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0032,ControllerContact1_2,SATURN-0032 · Controller spring contact002,Ports,gold,1,0.7553407431579606,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0033,ControllerContact1_3,SATURN-0033 · Controller spring contact003,Ports,gold,1,0.7553407431579606,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0034,ControllerContact1_4,SATURN-0034 · Controller spring contact004,Ports,gold,1,0.7553407431579605,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0035,ControllerContact1_5,SATURN-0035 · Controller spring contact005,Ports,gold,1,0.7553407431579606,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0036,ControllerContact1_6,SATURN-0036 · Controller spring contact006,Ports,gold,1,0.7553407431579607,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0037,ControllerContact1_7,SATURN-0037 · Controller spring contact007,Ports,gold,1,0.7553407431579587,0.8999999999999986,7.0,0.120000000000001,Schematic internal layout
SATURN-0038,ControllerContact1_8,SATURN-0038 · Controller spring contact008,Ports,gold,1,0.7553407431579587,0.8999999999999986,7.0,0.120000000000001,Schematic internal layout
SATURN-0039,ControllerIndex1,SATURN-0039 · 1,Body,metal,1,0.054413008423044695,2.2374161073825505,0.018000000000000682,3.7583892617449663,Approximate original Japanese exterior
SATURN-0040,ControllerPort2,SATURN-0040 · Original Saturn nine-position controller socket001,Ports,black,1,2366.741943334419,31.0,14.0,12.000000000000004,Schematic internal layout
SATURN-0041,ControllerTongue2,SATURN-0041 · Controller contact carrier001,Ports,black,1,190.73046900494066,26.5,8.0,0.8999999999999986,Schematic internal layout
SATURN-0042,ControllerContact2_0,SATURN-0042 · Controller spring contact009,Ports,gold,1,0.7553407431579587,0.8999999999999986,7.0,0.120000000000001,Schematic internal layout
SATURN-0043,ControllerContact2_1,SATURN-0043 · Controller spring contact010,Ports,gold,1,0.7553407431579587,0.8999999999999986,7.0,0.120000000000001,Schematic internal layout
SATURN-0044,ControllerContact2_2,SATURN-0044 · Controller spring contact011,Ports,gold,1,0.7553407431579607,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0045,ControllerContact2_3,SATURN-0045 · Controller spring contact012,Ports,gold,1,0.7553407431579606,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0046,ControllerContact2_4,SATURN-0046 · Controller spring contact013,Ports,gold,1,0.7553407431579605,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0047,ControllerContact2_5,SATURN-0047 · Controller spring contact014,Ports,gold,1,0.7553407431579605,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0048,ControllerContact2_6,SATURN-0048 · Controller spring contact015,Ports,gold,1,0.7553407431579607,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0049,ControllerContact2_7,SATURN-0049 · Controller spring contact016,Ports,gold,1,0.7553407431579607,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0050,ControllerContact2_8,SATURN-0050 · Controller spring contact017,Ports,gold,1,0.7553407431579606,0.9000000000000057,7.0,0.120000000000001,Schematic internal layout
SATURN-0051,ControllerIndex2,SATURN-0051 · 2,Body,metal,1,0.06448782208571764,2.3859062402684614,0.01800019999998881,3.8228189919463134,Approximate original Japanese exterior
SATURN-0052,ACInlet,SATURN-0052 · Original figure-eight mains inlet,Power,black,1,1812.4271877407577,31.200000000000017,3.0,22.200000000000003,Schematic internal layout
SATURN-0053,ACInletPin0,SATURN-0053 · Mains inlet pin study,Power,metal,1,15.268140296446404,1.8000000000000114,6.0,1.7999999999999972,Schematic internal layout
SATURN-0054,ACInletPin1,SATURN-0054 · Mains inlet pin study001,Power,metal,1,15.268140296446404,1.8000000000000114,6.0,1.7999999999999972,Schematic internal layout
SATURN-0055,ACFixing0,SATURN-0055 · Rear mains-inlet fixing head,Power,metal,1,4.321486315913917,3.1999999999999886,0.5999999999999943,3.200000000000003,Schematic internal layout
SATURN-0056,ACFixing1,SATURN-0056 · Rear mains-inlet fixing head001,Power,metal,1,4.321486315913917,3.1999999999999886,0.5999999999999943,3.200000000000003,Schematic internal layout
SATURN-0057,ACFixing2,SATURN-0057 · Rear mains-inlet fixing head002,Power,metal,1,4.321486315913917,3.1999999999999886,0.5999999999999943,3.200000000000003,Schematic internal layout
SATURN-0058,AVShell,SATURN-0058 · AV mini-DIN metal sleeve,Ports,metal,1,342.8105903597177,13.199999999999989,11.0,13.200000000000001,Schematic internal layout
SATURN-0059,AVCarrier,SATURN-0059 · AV contact insulator,Ports,black,1,238.91812130550392,11.0,3.0,11.0,Schematic internal layout
SATURN-0060,AVContact0,SATURN-0060 · AV mini-DIN socket contact,Ports,gold,1,3.325061664559437,1.2199999999999989,4.5,1.2199999999999989,Schematic internal layout
SATURN-0061,AVContact1,SATURN-0061 · AV mini-DIN socket contact001,Ports,gold,1,3.325061664559437,1.2199999999999989,4.5,1.2199999999999989,Schematic internal layout
SATURN-0062,AVContact2,SATURN-0062 · AV mini-DIN socket contact002,Ports,gold,1,3.3250616645594393,1.2199999999999989,4.5,1.2199999999999989,Schematic internal layout
SATURN-0063,AVContact3,SATURN-0063 · AV mini-DIN socket contact003,Ports,gold,1,3.325061664559437,1.2199999999999989,4.5,1.2199999999999989,Schematic internal layout
SATURN-0064,AVContact4,SATURN-0064 · AV mini-DIN socket contact004,Ports,gold,1,3.3250616645594393,1.2199999999999989,4.5,1.2199999999999989,Schematic internal layout
SATURN-0065,AVContact5,SATURN-0065 · AV mini-DIN socket contact005,Ports,gold,1,3.3250616645594393,1.2199999999999989,4.5,1.2199999999999989,Schematic internal layout
SATURN-0066,AVContact6,SATURN-0066 · AV mini-DIN socket contact006,Ports,gold,1,3.325061664559437,1.2199999999999989,4.5,1.2199999999999989,Schematic internal layout
SATURN-0067,AVContact7,SATURN-0067 · AV mini-DIN socket contact007,Ports,gold,1,3.325061664559441,1.2199999999999989,4.5,1.2199999999999989,Schematic internal layout
SATURN-0068,AVContact8,SATURN-0068 · AV mini-DIN socket contact008,Ports,gold,1,3.325061664559441,1.2199999999999989,4.5,1.2199999999999989,Schematic internal layout
SATURN-0069,AVContact9,SATURN-0069 · AV mini-DIN socket contact009,Ports,gold,1,3.325061664559441,1.2199999999999989,4.5,1.2199999999999989,Schematic internal layout
