Part number,Part ID,Label,Assembly,Material,Solid count,Volume mm3,X mm,Y mm,Z mm,Fidelity
STEAMDECK-0001,RearPlate,STEAMDECK-0001 · LCD model rear shell bridge011,Body,accent,1,29120.57115823668,296.6000002,115.6000002,1.2000002347825074,Published envelope; approximate local detail
STEAMDECK-0002,MainFrame,STEAMDECK-0002 · Steam Deck structural perimeter016,Body,accent,1,26218.2975668011,298.0,117.0000001,20.700000000000003,Published envelope; approximate local detail
STEAMDECK-0003,FrontFace,STEAMDECK-0003 · LCD model control and display face blank030,Body,accent,1,12386.844538883935,297.6,116.6,1.2000000000000028,Published envelope; approximate local detail
STEAMDECK-0004,RearGrip-1,STEAMDECK-0004 · Hollow curved rear grip013,Body,accent,1,5850.879264539286,58.221559842980795,96.68398447540253,13.65000022891805,Published envelope; approximate local detail
STEAMDECK-0005,RearGrip1,STEAMDECK-0005 · Hollow curved rear grip015,Body,accent,1,5851.562357845705,58.221559842979744,96.68398450618614,13.6500002139178,Published envelope; approximate local detail
STEAMDECK-0006,DisplaySurround,STEAMDECK-0006 · LCD model wide black bezel,Display,bezel,1,1543.797276103804,164.6,103.6,0.5499999999999972,Published envelope; approximate local detail
STEAMDECK-0007,LCDBackplate,STEAMDECK-0007 · LCD metal backplate,Display,metal,1,5636.155557428763,160.4,100.4,0.3500000000000014,Schematic internal layout
STEAMDECK-0008,LCD,STEAMDECK-0008 · 7-inch 16:10 LCD module,Display,black,1,50397.809773655616,160.0,100.0,3.1499999999999986,Schematic internal layout
STEAMDECK-0009,TouchLayer,STEAMDECK-0009 · Front capacitive touch layer,Display,screen,1,1704.84041394489,150.77,94.23,0.11999999999999744,Schematic internal layout
STEAMDECK-0010,DisplayGlass,STEAMDECK-0010 · Seven-inch display window,Display,screen,1,2841.3959686677786,150.77,94.23,0.20000000000000284,Published envelope; approximate local detail
STEAMDECK-0011,TrackpadRim-1,STEAMDECK-0011 · Trackpad surround,Touchpads,black,1,90.54175131606085,35.0,35.0,0.6000000000000014,Published envelope; approximate local detail
