Part number,Part ID,Label,Assembly,Material/display role,Solid count,Volume estimate mm3,X mm,Y mm,Z mm,Fidelity
SW-0001,DisplayGlass,SW-0001 · 触控显示窗口,Display,screen,1,6888.007223645013,137.255715586374,77.20634001733538,0.6500000000000004,Approximate exterior detail; published envelope dimensions
SW-0002,LCDModule,SW-0002 · 6.2 英寸 LCD 模组,Display,black,1,20176.683448923435,143.0,83.0,1.6999999999999993,Schematic internal layout
SW-0003,SpeakerMesh-1_0,SW-0003 · 前扬声器防尘网,Tablet,black,1,1.7123097335529212,9.5,1.0999999999999943,0.17999999999999972,Approximate exterior detail; published envelope dimensions
SW-0004,SpeakerMesh-1_1,SW-0004 · 前扬声器防尘网,Tablet,black,1,1.7123097335529214,9.5,1.0999999999999943,0.17999999999999972,Approximate exterior detail; published envelope dimensions
SW-0005,SpeakerMesh1_0,SW-0005 · 前扬声器防尘网,Tablet,black,1,1.7123097335529214,9.5,1.0999999999999943,0.17999999999999972,Approximate exterior detail; published envelope dimensions
SW-0006,SpeakerMesh1_1,SW-0006 · 前扬声器防尘网,Tablet,black,1,1.7123097335529214,9.5,1.0999999999999943,0.17999999999999972,Approximate exterior detail; published envelope dimensions
SW-0007,FrontBezel,SW-0007 · 前面板黑色边框,Tablet,bezel,1,4718.43576001776,172.8,100.8,0.6999999999999993,Approximate exterior detail; published envelope dimensions
SW-0008,AmbientSensorWindow,SW-0008 · 环境亮度感应窗,Tablet,screen,1,1.0714590240627206,1.460000000000008,1.4600000000000009,0.6400000000000006,Approximate exterior detail; published envelope dimensions
SW-0009,PowerButton,SW-0009 · 电源按键,Tablet,black,1,36.94512960621596,5.599999999999994,1.5,5.599999999999999,Approximate exterior detail; published envelope dimensions
SW-0010,VolumeRocker,SW-0010 · 音量摇杆按键,Tablet,black,1,104.36146921319751,15.400000000000006,1.5,4.800000000000001,Approximate exterior detail; published envelope dimensions
SW-0011,PowerSymbolRing,SW-0011 · 电源符号圆环,Tablet,white,1,0.05599238127749701,2.6999999999999886,0.02499999999999858,2.660295768137864,Approximate exterior detail; published envelope dimensions
SW-0012,PowerSymbolLine,SW-0012 · 电源符号短线,Tablet,white,1,0.01329097335529212,0.3400000000000034,0.02499999999999858,1.6000000000000005,Approximate exterior detail; published envelope dimensions
SW-0013,VolumeSymbol63_4,SW-0013 · -,Tablet,white,1,0.0021961803972794223,0.7800125838926135,0.012000000000000455,0.2346308724832209,Approximate exterior detail; published envelope dimensions
SW-0014,VolumeSymbol54_6,SW-0014 · +,Tablet,white,1,0.010218104049367247,1.8552432885906072,0.012000000000000455,1.8646979865771804,Approximate exterior detail; published envelope dimensions
SW-0015,HeadphoneRim,SW-0015 · 3.5 mm 耳机插座环,Tablet,black,1,48.5122224293213,4.799999999999997,5.799999999999997,4.799999999999999,Approximate exterior detail; published envelope dimensions
SW-0016,HeadphoneContact,SW-0016 · 耳机插座内金属接点,Tablet,gold,1,2.002576821104263,3.480000000000004,1.2000000000000028,3.4799999999999995,Approximate exterior detail; published envelope dimensions
SW-0017,GameCardLid,SW-0017 · GAME CARD 橡胶防尘盖,Tablet,rubber,1,199.97254312671112,26.099999999999994,1.0,7.800000000000001,Approximate exterior detail; published envelope dimensions
SW-0018,ExhaustMesh1,SW-0018 · 顶部排风口金属栅网,Tablet,black,1,5.479813385326531,7.300000000000001,0.21999999999999886,5.1,Approximate exterior detail; published envelope dimensions
SW-0019,ExhaustMesh2,SW-0019 · 顶部排风口金属栅网,Tablet,black,1,5.479813385326519,7.299999999999999,0.21999999999999886,5.1,Approximate exterior detail; published envelope dimensions
SW-0020,ExhaustMesh3,SW-0020 · 顶部排风口金属栅网,Tablet,black,1,5.4798133853265405,7.299999999999997,0.21999999999999886,5.1,Approximate exterior detail; published envelope dimensions
SW-0021,ExhaustMesh4,SW-0021 · 顶部排风口金属栅网,Tablet,black,1,5.479813385326539,7.299999999999997,0.21999999999999886,5.1,Approximate exterior detail; published envelope dimensions
SW-0022,ExhaustMesh5,SW-0022 · 顶部排风口金属栅网,Tablet,black,1,5.479813385326501,7.299999999999997,0.21999999999999886,5.1,Approximate exterior detail; published envelope dimensions
SW-0023,USBCShell,SW-0023 · USB-C 金属插座壳,Tablet,metal,1,32.434525665016174,8.8,5.0,3.2,Approximate exterior detail; published envelope dimensions
SW-0024,USBCTongue,SW-0024 · USB-C 绝缘舌片,Tablet,black,1,17.254980686354987,6.7,3.950000000000003,0.6600000000000001,Approximate exterior detail; published envelope dimensions
SW-0025,USBCContact-1_1,SW-0025 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176148,0.23000000000000043,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0026,USBCContact-1_2,SW-0026 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176149,0.23000000000000043,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0027,USBCContact-1_3,SW-0027 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176147,0.22999999999999998,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0028,USBCContact-1_4,SW-0028 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176147,0.22999999999999998,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0029,USBCContact-1_5,SW-0029 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176146,0.22999999999999998,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0030,USBCContact-1_6,SW-0030 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176147,0.22999999999999998,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0031,USBCContact-1_7,SW-0031 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176147,0.22999999999999998,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0032,USBCContact-1_8,SW-0032 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176147,0.22999999999999998,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0033,USBCContact-1_9,SW-0033 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176147,0.22999999999999998,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0034,USBCContact-1_10,SW-0034 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176146,0.22999999999999998,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0035,USBCContact-1_11,SW-0035 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176148,0.23000000000000043,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0036,USBCContact-1_12,SW-0036 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176148,0.23000000000000043,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0037,USBCContact1_1,SW-0037 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176148,0.23000000000000043,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0038,USBCContact1_2,SW-0038 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176148,0.23000000000000043,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0039,USBCContact1_3,SW-0039 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176146,0.22999999999999998,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0040,USBCContact1_4,SW-0040 · USB-C 镀金触点,Tablet,gold,1,0.041319203371761475,0.22999999999999998,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
SW-0041,USBCContact1_5,SW-0041 · USB-C 镀金触点,Tablet,gold,1,0.04131920337176146,0.22999999999999998,2.799999999999997,0.0649999999999995,Approximate exterior detail; published envelope dimensions
