Part number,Part ID,Label,Assembly,Material/display role,Solid count,Volume estimate mm3,X mm,Y mm,Z mm,Fidelity
SW2-0001,DisplayGlass,SW2-0001 · 显示与触控窗口,Display,screen,1,10322.803414398926,174.89034727941205,98.37582034466928,0.5999999999999996,Approximate exterior detail; published envelope dimensions
SW2-0002,AntiShatterFilm,SW2-0002 · 前表面防碎保护膜,Display,screen,1,860.2336178665818,174.89034727941205,98.37582034466928,0.05000000000000071,Approximate exterior detail; published envelope dimensions
SW2-0003,LCDModule,SW2-0003 · 7.9 英寸 LCD 模组,Display,black,1,29046.324034802816,180.2,104.0,1.5500000000000007,Schematic internal layout
SW2-0004,DisplayBackplate,SW2-0004 · 液晶模组金属背板,Display,metal,1,10697.727047514087,191.0,109.00000000000045,0.520000000000012,Schematic internal layout
SW2-0005,SpeakerMesh-1,SW2-0005 · 前向扬声器微孔网,Tablet,black,1,3.471793849822,16.30000000000001,1.2999999999999972,0.1999999999999993,Approximate exterior detail; published envelope dimensions
SW2-0006,SpeakerMesh1,SW2-0006 · 前向扬声器微孔网,Tablet,black,1,3.4717938498219993,16.30000000000001,1.2999999999999972,0.1999999999999993,Approximate exterior detail; published envelope dimensions
SW2-0007,FrontBezel,SW2-0007 · 前玻璃黑色边框,Tablet,bezel,1,3910.6873535457653,197.8,115.8,0.6999999999999993,Approximate exterior detail; published envelope dimensions
SW2-0008,PowerButton,SW2-0008 · 电源胶囊按键,Tablet,black,1,24.129034599338045,6.650000000000006,1.1000000000000014,3.650000000000002,Approximate exterior detail; published envelope dimensions
SW2-0009,VolumeRocker,SW2-0009 · 音量按键,Tablet,black,1,56.31844181763476,15.400000000000006,1.1000000000000014,3.45,Approximate exterior detail; published envelope dimensions
SW2-0010,VolumeGlyphN70_8,SW2-0010 · -,Tablet,white,1,0.001660627899644182,0.6782718120805384,0.012000000000000455,0.20402684563758378,Approximate exterior detail; published envelope dimensions
SW2-0011,VolumeGlyphN61_9,SW2-0011 · +,Tablet,white,1,0.007726354668708689,1.6132550335570457,0.012000000000000455,1.6214765100671151,Approximate exterior detail; published envelope dimensions
SW2-0012,BrightnessSensor,SW2-0012 · 顶部亮度感应窗,Tablet,screen,1,4.241150082346224,3.0,0.6000000000000014,3.0,Approximate exterior detail; published envelope dimensions
SW2-0013,HeadphoneRim,SW2-0013 · 3.5 mm 耳机麦克风插座,Tablet,black,1,48.51222242932129,4.799999999999997,5.799999999999997,4.800000000000001,Approximate exterior detail; published envelope dimensions
SW2-0014,HeadphoneContact,SW2-0014 · 四极耳机插座接触环,Tablet,gold,1,1.6688140175868975,3.480000000000004,1.0,3.4800000000000004,Approximate exterior detail; published envelope dimensions
SW2-0015,GameCardLid,SW2-0015 · 游戏卡防尘盖,Tablet,shell,1,220.04672491250898,25.6,1.1000000000000014,7.900000000000002,Approximate exterior detail; published envelope dimensions
SW2-0016,GameCardLegend,SW2-0016 · GAME CARD,Tablet,black,8,0.0860976398233761,13.536294243624155,0.012000200000002792,1.7053693275167783,Approximate exterior detail; published envelope dimensions
SW2-0017,MicrophoneMesh,SW2-0017 · 顶部麦克风网,Tablet,black,1,0.2683486677646173,0.6599999999999966,0.20000000000000284,2.1500000000000012,Approximate exterior detail; published envelope dimensions
SW2-0018,ExhaustMesh1,SW2-0018 · 顶部金属排风格栅,Tablet,black,1,8.14083694688738,14.600000000000001,0.21999999999999886,4.300000000000001,Approximate exterior detail; published envelope dimensions
SW2-0019,ExhaustMesh2,SW2-0019 · 顶部金属排风格栅,Tablet,black,1,8.14083694688738,14.600000000000001,0.21999999999999886,4.300000000000001,Approximate exterior detail; published envelope dimensions
SW2-0020,ExhaustMesh3,SW2-0020 · 顶部金属排风格栅,Tablet,black,1,8.140836946887372,14.600000000000001,0.21999999999999886,4.300000000000001,Approximate exterior detail; published envelope dimensions
SW2-0021,USBUpperShell,SW2-0021 · USB-C 金属插座 Upper,Tablet,metal,1,35.02928771821752,8.800000000000011,5.399999999999999,3.200000000000001,Approximate exterior detail; published envelope dimensions
SW2-0022,USBUpperTongue,SW2-0022 · USB-C 舌片 Upper,Tablet,black,1,19.220737979737194,6.700000000000003,4.399999999999999,0.6600000000000001,Approximate exterior detail; published envelope dimensions
SW2-0023,USBUpperContact-1_1,SW2-0023 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0024,USBUpperContact-1_2,SW2-0024 · USB-C 镀金触点,Tablet,gold,1,0.040820575041173285,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0025,USBUpperContact-1_3,SW2-0025 · USB-C 镀金触点,Tablet,gold,1,0.040820575041173285,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0026,USBUpperContact-1_4,SW2-0026 · USB-C 镀金触点,Tablet,gold,1,0.040820575041173285,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0027,USBUpperContact-1_5,SW2-0027 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0028,USBUpperContact-1_6,SW2-0028 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0029,USBUpperContact-1_7,SW2-0029 · USB-C 镀金触点,Tablet,gold,1,0.040820575041173285,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0030,USBUpperContact-1_8,SW2-0030 · USB-C 镀金触点,Tablet,gold,1,0.040820575041173285,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0031,USBUpperContact-1_9,SW2-0031 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0032,USBUpperContact-1_10,SW2-0032 · USB-C 镀金触点,Tablet,gold,1,0.040820575041173285,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0033,USBUpperContact-1_11,SW2-0033 · USB-C 镀金触点,Tablet,gold,1,0.040820575041173285,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0034,USBUpperContact-1_12,SW2-0034 · USB-C 镀金触点,Tablet,gold,1,0.040820575041173285,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0035,USBUpperContact1_1,SW2-0035 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0036,USBUpperContact1_2,SW2-0036 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0037,USBUpperContact1_3,SW2-0037 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0038,USBUpperContact1_4,SW2-0038 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0039,USBUpperContact1_5,SW2-0039 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0040,USBUpperContact1_6,SW2-0040 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0041,USBUpperContact1_7,SW2-0041 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0042,USBUpperContact1_8,SW2-0042 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0043,USBUpperContact1_9,SW2-0043 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0044,USBUpperContact1_10,SW2-0044 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0045,USBUpperContact1_11,SW2-0045 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0046,USBUpperContact1_12,SW2-0046 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117329,0.23000000000000398,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0047,USBLowerShell,SW2-0047 · USB-C 金属插座 Lower,Tablet,metal,1,35.02928771821753,8.8,5.399999999999999,3.200000000000001,Approximate exterior detail; published envelope dimensions
SW2-0048,USBLowerTongue,SW2-0048 · USB-C 舌片 Lower,Tablet,black,1,19.220737979737194,6.7,4.399999999999999,0.6600000000000001,Approximate exterior detail; published envelope dimensions
SW2-0049,USBLowerContact-1_1,SW2-0049 · USB-C 镀金触点,Tablet,gold,1,0.040820575041173215,0.23000000000000043,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0050,USBLowerContact-1_2,SW2-0050 · USB-C 镀金触点,Tablet,gold,1,0.040820575041173215,0.23000000000000043,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0051,USBLowerContact-1_3,SW2-0051 · USB-C 镀金触点,Tablet,gold,1,0.0408205750411732,0.22999999999999998,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0052,USBLowerContact-1_4,SW2-0052 · USB-C 镀金触点,Tablet,gold,1,0.0408205750411732,0.22999999999999998,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0053,USBLowerContact-1_5,SW2-0053 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117321,0.22999999999999998,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0054,USBLowerContact-1_6,SW2-0054 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117321,0.22999999999999998,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0055,USBLowerContact-1_7,SW2-0055 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117321,0.22999999999999998,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0056,USBLowerContact-1_8,SW2-0056 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117321,0.22999999999999998,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0057,USBLowerContact-1_9,SW2-0057 · USB-C 镀金触点,Tablet,gold,1,0.0408205750411732,0.22999999999999998,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0058,USBLowerContact-1_10,SW2-0058 · USB-C 镀金触点,Tablet,gold,1,0.0408205750411732,0.22999999999999998,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0059,USBLowerContact-1_11,SW2-0059 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117322,0.23000000000000043,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0060,USBLowerContact-1_12,SW2-0060 · USB-C 镀金触点,Tablet,gold,1,0.040820575041173215,0.23000000000000043,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0061,USBLowerContact1_1,SW2-0061 · USB-C 镀金触点,Tablet,gold,1,0.040820575041173215,0.23000000000000043,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0062,USBLowerContact1_2,SW2-0062 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117322,0.23000000000000043,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0063,USBLowerContact1_3,SW2-0063 · USB-C 镀金触点,Tablet,gold,1,0.0408205750411732,0.22999999999999998,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0064,USBLowerContact1_4,SW2-0064 · USB-C 镀金触点,Tablet,gold,1,0.0408205750411732,0.22999999999999998,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0065,USBLowerContact1_5,SW2-0065 · USB-C 镀金触点,Tablet,gold,1,0.04082057504117321,0.22999999999999998,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
SW2-0066,USBLowerContact1_6,SW2-0066 · USB-C 镀金触点,Tablet,gold,1,0.040820575041173195,0.22999999999999998,3.0,0.0600000000000005,Approximate exterior detail; published envelope dimensions
