Part number,Part ID,Label,Assembly,Material,Solid count,Volume mm3,X mm,Y mm,Z mm,Fidelity
WII-0001,LowerHousing,WII-0001 · RVL-001 lower enclosure038,Body,wiiwhite,1,64984.825879620286,157.0,210.4,22.55,Published envelope; approximate photographic exterior detail
WII-0002,UpperHousing,WII-0002 · RVL-001 upper enclosure012,Body,wiiwhite,1,63241.831898533965,157.0,210.4,39.6,Published envelope; approximate photographic exterior detail
WII-0003,FrontBezel,WII-0003 · Separate original Wii faceplate006,Body,wiiwhite,1,10079.85832552423,157.0,4.750000000000014,42.5,Published envelope; approximate photographic exterior detail
WII-0004,Foot0,WII-0004 · Horizontal placement rubber pad,Body,rubber,1,178.14584013175397,8.0,15.0,1.5,Published envelope; approximate photographic exterior detail
WII-0005,Foot1,WII-0005 · Horizontal placement rubber pad001,Body,rubber,1,178.14584013175397,8.0,15.0,1.5,Published envelope; approximate photographic exterior detail
WII-0006,Foot2,WII-0006 · Horizontal placement rubber pad002,Body,rubber,1,178.14584013175397,8.0,15.0,1.5,Published envelope; approximate photographic exterior detail
WII-0007,Foot3,WII-0007 · Horizontal placement rubber pad003,Body,rubber,1,178.14584013175397,8.0,15.0,1.5,Published envelope; approximate photographic exterior detail
WII-0008,DiscLightGuide,WII-0008 · Blue optical slot illumination guide,Controls,slotblue,1,557.223561292729,130.5,1.450000000000017,6.900000000000006,Published envelope; approximate photographic exterior detail
WII-0009,DiscSlotFrame,WII-0009 · Dark internal disc-slot frame,Optical,black,1,436.0239275005185,128.0,2.8000000000000114,4.600000000000005,Schematic internal layout
WII-0010,SlotLEDPCB0,WII-0010 · Slot indicator end board,Controls,pcb,1,47.153858377202106,4.5,0.7000000000000028,15.0,Schematic internal layout
WII-0011,SlotLED0,WII-0011 · Blue light source package,Controls,slotblue,1,3.7036460032938368,2.5,0.5999999999999943,2.5,Schematic internal layout
WII-0012,SlotLEDPCB1,WII-0012 · Slot indicator end board001,Controls,pcb,1,47.15385837720212,4.5,0.7000000000000028,15.0,Schematic internal layout
WII-0013,SlotLED1,WII-0013 · Blue light source package001,Controls,slotblue,1,3.7036460032938368,2.5,0.5999999999999943,2.5,Schematic internal layout
WII-0014,PowerButton,WII-0014 · Power original faceplate key,Controls,wiiwhite,1,94.67465470399699,5.6000000000000085,1.7000000000000028,10.0,Published envelope; approximate photographic exterior detail
WII-0015,PowerSwitch,WII-0015 · Power tactile switch housing,Controls,black,1,29.793982236861552,4.0,1.5,5.000000000000002,Schematic internal layout
WII-0016,PowerMark,WII-0016 · Power symbol,Controls,wiigrey,2,0.133383057945041,3.299999999999997,0.03499999999999659,3.950000000000001,Published envelope; approximate photographic exterior detail
