Part number,Part ID,Label,Assembly,Material,Solid count,Volume mm3,X mm,Y mm,Z mm,Fidelity
WIIU-0001,LowerHousing,WIIU-0001 · WUP-001 lower rounded shell013,Body,wiiuwhite,1,90127.97689885265,172.0000002,263.5000002,22.850000100000063,Published envelope; approximate photographic exterior detail
WIIU-0002,UpperHousing,WIIU-0002 · WUP-001 upper rounded shell009,Body,wiiuwhite,1,93007.36506761164,172.0,263.50000009999997,26.0000001,Published envelope; approximate photographic exterior detail
WIIU-0003,FrontBezel,WIIU-0003 · Separate rounded Wii U faceplate008,Body,wiiuwhite,1,11302.279447868184,172.0,4.75,46.0,Published envelope; approximate photographic exterior detail
WIIU-0004,Foot0,WIIU-0004 · Rubber placement pad,Body,rubber,1,141.98102592124323,8.0,15.0,1.2,Published envelope; approximate photographic exterior detail
WIIU-0005,Foot1,WIIU-0005 · Rubber placement pad001,Body,rubber,1,141.98102592124323,8.0,15.0,1.2,Published envelope; approximate photographic exterior detail
WIIU-0006,Foot2,WIIU-0006 · Rubber placement pad002,Body,rubber,1,141.98102592124323,8.0,15.0,1.2,Published envelope; approximate photographic exterior detail
WIIU-0007,Foot3,WIIU-0007 · Rubber placement pad003,Body,rubber,1,141.98102592124323,8.0,15.0,1.2,Published envelope; approximate photographic exterior detail
WIIU-0008,DiscSlotTrim,WIIU-0008 · Dark optical slot liner,Optical,black,1,430.5191859073105,131.4,1.3000000000000114,6.299999999999997,Published envelope; approximate photographic exterior detail
WIIU-0009,PowerButton,WIIU-0009 · Power faceplate control,Controls,wiiuwhite,1,99.71415082493999,9.199999999999996,1.5,9.200000000000001,Published envelope; approximate photographic exterior detail
WIIU-0010,EjectButton,WIIU-0010 · Eject faceplate control,Controls,wiiuwhite,1,99.71415082493999,9.199999999999996,1.5,9.200000000000003,Published envelope; approximate photographic exterior detail
WIIU-0011,SyncButton,WIIU-0011 · Sync faceplate control,Controls,red,1,34.353315667004395,5.400000000000002,1.5,5.399999999999999,Published envelope; approximate photographic exterior detail
